name	x	y	z	von	bis	fixed
AlbLimes	0	0	0	115	260	fixed
DonauLimes	0	0	0	120	260	fixed
Elisabethenstrasse	0	0	0	74	260	fixed
HadriansWall	0	0	0	120	270	fixed
Neckarlimes	0	0	0	115	260	fixed
NördlingerRies	0	0	0	110	260	fixed
Odenwaldlimes	0	0	0	110	260	fixed
WestRätLimes	0	0	0	110	260	fixed
Wetteraulimes	0	0	0	110	260	fixed
