name	x	y	z	von	bis	fixed
BKE	-0.111873981207437	-0.221243996901884	0.0273720982769686	0	300	fix
BKW	-1.00585220644967	0.884645010394734	0.035794576733952	1300	1800	schwebend
BOK	-0.38156094276757	0.490255882839267	0.833786926748098	250	500	fix
BON	-0.147056151037192	-0.421156856160914	-0.0357900020290734	-250	-50	schwebend
BTM	1.11416748431687	0.32028722427637	0.0867652757446962	-200	600	schwebend
IGD	-0.19277700996239	-0.636793156589611	0.0104473773316147	-200	100	fix
ILB	1.07215643790274	-0.199149429704839	0.9282213529011	1900	2000	schwebend
IMB	0.0555278386807864	-0.0541867113737491	-0.576087194364505	-400	-100	fix
ING	-0.220447766066187	-0.690668287476253	0.0905855828293342	-250	-50	schwebend
LNG	-1.00720095686911	0.735351384253131	0.348965176714987	250	700	fix
LOK	-0.335068475117325	-0.811292173505178	-0.131635978369941	-75	425	schwebend
LUS	-0.729784321302593	0.188618577575865	-0.782505754166749	-110	125	schwebend
NGB	0.956706678133373	0.657162485583903	-0.284405819988194	-200	500	schwebend
YET	-0.0171311568817623	-0.352977427318953	-0.0038458793719192	100	300	schwebend
YNG	0.578831502837741	0.481606234867695	-0.768556398463517	-400	100	schwebend
