name	x	y	z	von	bis	fixed
BDG	-0.393431542337957	-1.10319636489591	-0.244494463311151	1100	1550	fix
BEK	-0.199895431380485	-0.349377872220265	0.189936123700852	1200	1400	schwebend
BKE	0.644094345921715	0.039916895462143	0.331175028319168	0	300	fix
BKN	-0.772409081474027	0.132174397952617	0.00968922836159743	1700	1875	schwebend
BKW	0.240022941636049	-0.836535445960097	-0.610217219447155	1300	1800	schwebend
BLD	-0.888355143959405	-0.15459697055941	-0.0421659529636952	1500	1950	schwebend
BLM	-0.322997517476462	0.305529267815454	-0.276190211787612	1800	1950	schwebend
BOK	0.488693304845979	-0.290988930419078	0.330679753226988	250	500	fix
BON	0.786877524803029	0.0932523783277056	-0.0119304747228253	-250	-50	schwebend
BOS	-0.569114099037486	-0.359530816185177	-0.116278575533198	1350	1550	schwebend
BOT	0.0905293824004745	-0.0531470568346377	0.497758009254563	1700	1920	fix
BSG	-0.239310982925884	-0.491560999404138	-0.392954508081826	1500	1700	schwebend
BTM	0.148027377751746	1.00583160470754	0.0130537021349956	-200	600	schwebend
IGD	1.04895899600202	0.0997322654074793	-0.0713946273055373	-200	100	fix
IKK	-0.609505634908302	0.24226446252416	-0.459608305363927	1800	1900	schwebend
ILB	0.0141956261818101	1.0255102505524	0.792979008982217	1900	2000	schwebend
IMB	0.64862546158154	0.0918125150723866	-0.394283103444996	-400	-100	fix
ING	1.33276396953918	0.221155968919922	0.349342793667287	-250	-50	schwebend
LIK	-0.400779685347387	0.0754504881597202	-0.153186941353949	1800	1950	schwebend
LKG	-0.389541066847945	0.246887192835587	-0.203472096441531	1800	1950	schwebend
LNG	0.916154935940983	-0.819060931373589	-0.627024069612233	250	700	fix
LOK	0.66127588653622	-0.0898400259773235	0.226498482769671	-75	425	schwebend
LON	-0.184606538313549	-0.403694659861324	0.891065577442551	1100	1300	schwebend
LUS	0.820574539728024	-0.814509221335538	-0.971311358273925	-110	125	schwebend
MAL	-0.188869560198917	-0.25347099587769	0.205612833009781	1350	1500	schwebend
MAT	-0.743411873685375	1.75328656371983	-1.59811718925086	1200	1400	schwebend
MBA	-0.638407196755049	-1.11649240239185	0.0917649735038229	1200	1400	schwebend
MKA	-0.327328747789768	0.218109874381602	1.24362461042947	1900	2000	fix
MON	0.354299146757054	0.101641688995042	-0.149389200624616	-100	200	fix
MPO	-0.824852454182114	0.300102193484194	0.135955407284807	1800	1900	schwebend
NGB	0.0192370760625606	0.769550346055383	-0.230972299081322	-200	500	schwebend
NGO	-0.259739039097126	-0.274985425599155	0.472692394150011	1100	1300	schwebend
NKI	-0.51702361481426	-0.275440970889142	0.140532015617476	1300	1600	schwebend
OUE	-0.577807513141467	0.851080000999265	-1.30734169543567	1000	1350	schwebend
PKM	0.0838456554628382	0.0774001227162799	0.829557078289498	-200	500	fix
WAF	-0.524013168300299	-0.694346482322499	-0.474549463749403	1300	1500	schwebend
WEM	-0.597406644309523	-0.0973746773157255	0.00550729737786498	1275	1400	schwebend
YET	0.267866473537051	0.146058447063495	0.0691070488978884	100	300	schwebend
YNG	0.578719321765397	0.618976534629987	-0.54564416911641	-400	100	schwebend
YOP	-0.522600900340955	0.720882335505039	0.443961348968488	1900	2000	schwebend
