name	x	y	z	von	bis	fixed
BDG	0.841621271930063	-0.942109017309798	0.600672629786067	1100	1550	fix
BEK	0.441468829209744	0.683351007060468	1.11329070667467	1200	1400	schwebend
BKN	-0.338434969733163	-0.0491545157284172	-0.115115546900073	1700	1875	schwebend
BLD	-0.199439068292126	-0.323119498043398	-0.249612460218459	1500	1950	schwebend
BLM	-0.403886300075012	-0.0561220010835642	-0.14465585240955	1800	1950	schwebend
BOS	0.135688856426504	-0.472227572196391	-0.25769826221761	1350	1550	schwebend
BOT	0.200862892025886	0.206648950082713	-0.412816995563725	1700	1920	fix
BSG	0.255282038721253	-0.59994532573067	0.527385739361783	1500	1700	schwebend
IKK	-0.628014137430165	-0.157221203036185	-0.22124793342216	1800	1900	schwebend
LIK	-0.251939308796879	-0.0730333403559355	-0.165777620653826	1800	1950	schwebend
LKG	-0.416437968417398	-0.100963568950301	-0.396436977870861	1800	1950	schwebend
LON	0.648591284435953	0.989222328856019	0.606138549833421	1100	1300	schwebend
MAL	0.194827382500128	-0.0512923936057117	-0.497249207668816	1350	1500	schwebend
MAT	-2.0268822092788	0.365689951499323	0.765527116399061	1200	1400	schwebend
MBA	0.695501108100518	-0.884423947082281	-0.562663533616441	1200	1400	schwebend
MKA	0.428707974687302	0.705192357303095	-0.692823842274885	1900	2000	fix
MON	-0.124947380459183	0.197191711489455	-0.0198699298084916	-100	200	fix
MPO	-0.517697721439314	0.0698760598645365	-0.320586283683845	1800	1900	schwebend
NGO	0.360886984201985	0.550633061895553	0.242797008786906	1100	1300	schwebend
NKI	0.150746448805002	-0.11805404334397	-0.344363351955146	1300	1600	schwebend
OUE	-1.26284218104691	-0.0998536560635866	0.687854169723059	1000	1350	schwebend
PKM	0.505693915419672	1.02141644461129	-0.323823500239274	-200	500	fix
WAF	0.278139000916055	-0.774612793253394	0.47586830792618	1300	1500	schwebend
WEM	-0.0548485253517504	-0.0671134567845564	0.135819625963396	1275	1400	schwebend
YOP	-0.454376787581096	0.406378902222687	-0.616575518204719	1900	2000	schwebend
