name	x	y	z	von	bis	fixed
BBS	1.41939078661584	1.26014391064833	-0.634192284279141	250	700	schwebend
BDG	-0.596772932126332	-0.139007834513146	0.855700011295425	1100	1550	fix
BEK	-0.271353775100527	0.00961968564678829	0.174677557089357	1200	1400	schwebend
BKE	0.792389308166487	-0.199984146206304	-0.0119555735927771	0	300	fix
BKN	-0.761363034926615	0.476057794461424	-0.0293530690680903	1700	1875	schwebend
BKW	0.100690767690038	-0.379563579643408	0.780519631413193	1300	1800	schwebend
BLD	-0.99269667561837	0.433886435335379	0.188055454985784	1500	1950	schwebend
BLM	-0.483642762521941	0.0749988791243927	-0.159044505652582	1800	1950	schwebend
BOG	0.805141353530615	0.960423985310335	-0.672283409129502	-200	500	schwebend
BOK	0.566208281072782	-0.245712225888615	0.143093734142954	250	500	fix
BON	0.363492853890049	-0.711681064922994	-0.264438020118144	-250	-50	schwebend
BOS	-0.668316213042016	0.186789808856688	0.350628870175251	1350	1550	schwebend
BOT	0.155163284054778	0.0311591751288121	-0.0369089056758482	1700	1920	fix
BSG	-0.454742370640252	-0.163079870877472	0.407408686246787	1500	1700	schwebend
BTM	-0.26937368346006	-0.211845874907081	-0.86541915199474	-200	600	schwebend
EBA	1.11289040791408	0.438024663805267	0.997118787041042	1500	2000	fix
EPE	1.03303027710063	-0.0169129605595133	1.28684973711163	1900	2000	fix
IGD	0.29018679172604	-1.00198966241771	-0.560492886129286	-200	100	fix
IKK	-0.736866875531019	0.216125286609686	0.0122463074996746	1800	1900	schwebend
ILB	-0.0717860337677166	0.396009575859333	-1.07916999893035	1900	2000	schwebend
IMB	-0.00603709799801715	-0.869340620354849	-0.248704619880694	-400	-100	fix
ING	0.679569965830421	-0.923175650719166	-0.672195216408085	-250	-50	schwebend
LIK	-0.40869522653249	0.184608727234617	0.0703407761812703	1800	1950	schwebend
LKG	-0.488879996131291	0.153599675946599	-0.104362578256093	1800	1950	schwebend
LNG	0.268020374270761	-1.14584871124171	0.516684422424219	250	700	fix
LOK	0.189306116237608	-0.683584843390233	-0.369780222086198	-75	425	schwebend
LON	0.0818907151650001	0.275390879004972	0.315688682070876	1100	1300	schwebend
LUS	0.170172608107959	-1.11105757510163	0.518425974795093	-110	125	schwebend
MAL	-0.130767183878688	0.133493972536036	0.17283702119469	1350	1500	schwebend
MAT	-0.961347039345791	0.305493657212483	-0.931685785006477	1200	1400	schwebend
MBA	-0.689610918621325	0.215174811644037	0.855093822407309	1200	1400	schwebend
MKA	0.276067648210151	0.950925553268015	-0.606003636096114	1900	2000	fix
MON	0.08898082287405	-0.415451234525769	-0.235904499500422	-100	200	fix
MPO	-0.770364696462219	0.590022268115975	-0.164874025469862	1800	1900	schwebend
NGB	-0.192786144917001	-0.141335150899507	-0.404313572941165	-200	500	schwebend
NGO	0.550094218089047	0.668392832340898	0.498666059241172	1100	1300	schwebend
NKI	-0.30783671189952	0.377977952790962	0.539227976019928	1300	1600	schwebend
OUE	-0.931260426655221	0.0220704668398639	-0.383169829492421	1000	1350	schwebend
PKM	0.229832224733664	0.157669652008818	-0.263172096124105	-200	500	fix
WAF	-0.833173656087783	-0.0834666367866692	0.618483664803967	1300	1500	schwebend
WEM	-0.566461997249137	0.32818395752327	0.116384646400147	1275	1400	schwebend
YET	0.148369772296031	-0.189350549023828	-0.110855425172016	100	300	schwebend
YNG	-0.138449208051626	-0.838163448361265	-0.538146283658854	-400	100	schwebend
YOP	-0.364124802183359	0.560947281886543	-0.492561920744743	1900	2000	schwebend
